"Marca temporal","Sexo del viajante","Edad del viajante","Año en el que se realizó","Medio de transporte principal utilizado","Duración aproximada del viaje (en dias)","Dinero gastado (en €)","Localización del destino","Número de acompañantes","Tipo de acompañantes (en caso de haber varias respuestas correctas, seleccione la que corresponda a un número mayor de acompañantes)","¿Cómo organizó el viaje?","Satisfacción con el viaje realizado","  ¿Cuál es el factor que le impide viajar más?  (Seleccione 1 o más factores)"
"2019/11/05 5:20:13 p. m. CET","Hombre","22","2019","Coche","5","300","Europa","3","Familiares","Páginas web / aplicaciones","10","Ya viajo lo suficiente"
"2019/11/06 2:15:52 p. m. CET","Hombre","21","2018","Avión","7","400","Canarias","1","Otro","Agencia de viajes","9","Falta de dinero;Falta de tiempo"
"2019/11/06 2:17:31 p. m. CET","Mujer","48","Antes de 2014","Batiscafo","1001","1002","Oceanía","1003","Solo","Agencia de viajes","10","Ya viajo lo suficiente"
"2019/11/06 2:19:12 p. m. CET","Mujer","17","2019","Coche","7","3000","Península","3","Familiares","Otra persona","8","Falta de dinero;Falta de tiempo"
"2019/11/06 2:20:52 p. m. CET","Mujer","21","2019","Avión","3","300","Europa","1","Familiares","Páginas web / aplicaciones","8","Dificultad en la organización del viaje"
"2019/11/06 2:22:02 p. m. CET","Hombre","1999","2019","Coche","100000009","45880097","Europa","9999","Familiares","Otra persona","10","Falta de dinero"
"2019/11/06 2:23:57 p. m. CET","Hombre","20","2019","Bus","2","75","Península","5","Amigos","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/06 2:24:26 p. m. CET","Hombre","19","2019","Coche","3","200","Península","3","Familiares","Páginas web / aplicaciones","10","Falta de tiempo;Dificultad en la organización del viaje"
"2019/11/06 2:24:31 p. m. CET","Hombre","18","2019","Bus","30","1000","Península","2","Familiares","Otra persona","10","Falta de dinero"
"2019/11/06 2:24:42 p. m. CET","Hombre","2001","Antes de 2014","Coche","2","3.1415","Asia","3","Otro","Otra persona","1","Ya viajo lo suficiente;Falta de dinero;Falta de tiempo;Dificultad en la organización del viaje;Dificultad para encontrar gente con la quien viajar"
"2019/11/06 2:32:20 p. m. CET","Hombre","18","2019","Tren","8","700","Península","12","Amigos","Páginas web / aplicaciones","7","Falta de dinero;Falta de tiempo;Dificultad en la organización del viaje;Dificultad para encontrar gente con la quien viajar"
"2019/11/06 2:32:20 p. m. CET","Hombre","22","2019","Avión","30","1600","Asia","1","Otro","Páginas web / aplicaciones","8","Falta de tiempo"
"2019/11/06 2:35:39 p. m. CET","Mujer","18","2019","Coche","1","300","Península","3","Familiares","Páginas web / aplicaciones","8","Falta de tiempo;Dificultad en la organización del viaje"
"2019/11/06 2:36:36 p. m. CET","Mujer","18","2016","Coche","1","300","Península","3","Amigos","Páginas web / aplicaciones","10","Dificultad para encontrar gente con la quien viajar"
"2019/11/06 2:53:29 p. m. CET","Mujer","29","2019","Coche","15","1200","Península","1","Otro","Páginas web / aplicaciones","9","Falta de dinero;Falta de tiempo"
"2019/11/06 3:01:39 p. m. CET","Hombre","21","2019","Coche","5","1500","Península","3","Familiares","Páginas web / aplicaciones","8","Ya viajo lo suficiente"
"2019/11/06 3:04:00 p. m. CET","Hombre","21","2019","Coche","2","35","Península","9","Amigos","Páginas web / aplicaciones","7","Falta de tiempo"
